id,direction,actual_state,expected_route,reason,p_entry,p_now,drift,slope,abs_delta,gamma_ratio,persistence,confirmations,edb_lean,edb_conf,ggr,kpf,option_exit_friction,future_hedge_friction
case_000748,SHORT_PUT,WATCH,NORMAL,watch_too_sensitive,0.678945,0.679016,7.1e-05,0.054535,0.3076,1.0743,LOW,GGR_ADVERSE,BEARISH,44.77,NEGATIVE_GAMMA_AMPLIFYING,THICK_BUFFER,HIGH,LOW
case_000749,SHORT_PUT,HEDGE_READY,WATCH,overhedge_due_threshold_or_friction,0.244887,0.477109,0.232222,0.464444,0.6558,1.9873,HIGH,EDB_ADVERSE|GGR_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,BEARISH,87.32,NEGATIVE_GAMMA_AMPLIFYING,ABSENT,EXTREME,LOW
case_000753,SHORT_PUT,EXIT_PREFERRED,NORMAL,other,0.704424,0.673625,-0.030798,0.080491,0.3051,3.1934,LOW,,BULLISH,69.37,POSITIVE_GAMMA_PINNING,OK,LOW,LOW
case_000754,SHORT_PUT,WATCH,NORMAL,watch_too_sensitive,0.579058,0.611463,0.032405,0.065296,0.5069,2.8541,LOW,KPF_BUFFER_WEAK_OR_BROKEN,BULLISH,50.02,POSITIVE_GAMMA_PINNING,PENETRATED,HIGH,LOW
case_000758,SHORT_CALL,WATCH,NORMAL,watch_too_sensitive,0.682536,0.678712,-0.003824,0.085087,0.4711,2.1141,LOW,KPF_BUFFER_WEAK_OR_BROKEN,BEARISH,49.46,NEGATIVE_GAMMA_AMPLIFYING,ABSENT,EXTREME,MEDIUM
case_000770,SHORT_PUT,HEDGE_READY,WATCH,overhedge_due_threshold_or_friction,0.206489,0.567714,0.361226,0.722451,0.6049,2.732,MEDIUM,GGR_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,NEUTRAL,39.38,NEGATIVE_GAMMA_AMPLIFYING,ABSENT,HIGH,MEDIUM
case_000775,SHORT_PUT,HEDGE_READY,WATCH,overhedge_due_threshold_or_friction,0.606034,0.736466,0.130432,0.260864,0.46,2.9875,MEDIUM,GGR_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,BEARISH,47.69,NEGATIVE_GAMMA_AMPLIFYING,TOUCHED,EXTREME,LOW
case_000778,SHORT_CALL,NORMAL,WATCH,normal_too_sticky,0.520197,0.492342,-0.027856,-0.055711,0.6401,3.1274,MEDIUM,GGR_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,NEUTRAL,45.78,NEGATIVE_GAMMA_AMPLIFYING,PENETRATED,HIGH,MEDIUM
case_000786,SHORT_CALL,EXIT_PREFERRED,NORMAL,other,0.765946,0.741223,-0.024723,-0.049445,0.2938,2.475,LOW,KPF_BUFFER_WEAK_OR_BROKEN,BEARISH,70.92,NEGATIVE_GAMMA_AMPLIFYING,PENETRATED,MEDIUM,MEDIUM
case_000787,SHORT_PUT,HEDGE_READY,WATCH,overhedge_due_threshold_or_friction,0.646418,0.778592,0.132174,0.264347,0.703,1.236,MEDIUM,EDB_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,BEARISH,73.68,CALM_TRANSITION,PENETRATED,POOR,LOW
case_000790,SHORT_PUT,WATCH,NORMAL,watch_too_sensitive,0.238511,0.342909,0.104398,0.208796,0.3529,2.2236,LOW,KPF_BUFFER_WEAK_OR_BROKEN,BULLISH,55.29,POSITIVE_GAMMA_PINNING,PENETRATED,HIGH,LOW
case_000793,SHORT_PUT,HEDGE_READY,WATCH,overhedge_due_threshold_or_friction,0.057525,0.475419,0.417894,0.835789,0.4599,2.5453,MEDIUM,GGR_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,NEUTRAL,47.59,NEGATIVE_GAMMA_AMPLIFYING,TOUCHED,EXTREME,LOW
case_000798,SHORT_PUT,WATCH,NORMAL,watch_too_sensitive,0.690901,0.753411,0.06251,-0.031035,0.2049,2.1813,LOW,KPF_BUFFER_WEAK_OR_BROKEN,BULLISH,77.25,POSITIVE_GAMMA_PINNING,PENETRATED,HIGH,LOW
case_000803,SHORT_PUT,EXIT_PREFERRED,NORMAL,other,0.564732,0.611448,0.046717,0.093433,0.3076,0.9347,LOW,,BULLISH,65.5,POSITIVE_GAMMA_PINNING,THICK_BUFFER,MEDIUM,MEDIUM
case_000810,SHORT_PUT,HEDGE_READY,WATCH,overhedge_due_threshold_or_friction,0.164268,0.500329,0.33606,-0.01647,0.6976,0.7079,MEDIUM,EDB_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,BEARISH,64.58,CALM_TRANSITION,ABSENT,EXTREME,MEDIUM
case_000811,SHORT_PUT,WATCH,NORMAL,watch_too_sensitive,0.731437,0.570003,-0.161434,-0.322868,0.2317,1.2931,LOW,,BULLISH,51.73,CALM_TRANSITION,THICK_BUFFER,EXTREME,MEDIUM
case_000812,SHORT_CALL,EXIT_PREFERRED,NORMAL,other,0.521278,0.530231,0.008952,0.017905,0.4433,2.1486,LOW,KPF_BUFFER_WEAK_OR_BROKEN,BEARISH,73.9,POSITIVE_GAMMA_PINNING,TOUCHED,MEDIUM,LOW
case_000819,SHORT_PUT,HEDGE_READY,WATCH,overhedge_due_threshold_or_friction,0.700116,0.762264,0.062148,0.124296,0.5138,3.1421,MEDIUM,GGR_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,BULLISH,37.71,NEGATIVE_GAMMA_AMPLIFYING,TOUCHED,POOR,MEDIUM
case_000820,SHORT_PUT,HEDGE_READY,WATCH,overhedge_due_threshold_or_friction,0.400863,0.584896,0.184034,0.368067,0.5554,2.7164,HIGH,EDB_ADVERSE|GGR_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,BEARISH,80.77,NEGATIVE_GAMMA_AMPLIFYING,TOUCHED,EXTREME,LOW
case_000821,SHORT_PUT,WATCH,NORMAL,watch_too_sensitive,0.49094,0.550917,0.059977,0.096655,0.1424,2.6467,LOW,KPF_BUFFER_WEAK_OR_BROKEN,BULLISH,46.26,POSITIVE_GAMMA_PINNING,ABSENT,EXTREME,MEDIUM
case_000830,SHORT_PUT,EXIT_PREFERRED,WATCH,exit_preferred_too_eager,0.646433,0.719102,0.072668,0.145337,0.4484,0.8817,MEDIUM,EDB_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,BEARISH,65.78,CALM_TRANSITION,ABSENT,GOOD,LOW
case_000831,SHORT_CALL,HEDGE_READY,WATCH,overhedge_due_threshold_or_friction,0.139028,0.425366,0.286338,0.572676,0.5578,1.9475,HIGH,EDB_ADVERSE|GGR_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,BULLISH,82.77,NEGATIVE_GAMMA_AMPLIFYING,TOUCHED,HIGH,LOW
case_000843,SHORT_PUT,WATCH,NORMAL,watch_too_sensitive,0.326272,0.426605,0.100334,-0.033817,0.3436,1.0442,LOW,,BULLISH,60.94,CALM_TRANSITION,INTACT,POOR,LOW
case_000847,SHORT_CALL,EXIT_PREFERRED,NORMAL,other,0.614081,0.650836,0.036754,0.073509,0.3493,1.2688,LOW,,BULLISH,39.04,CALM_TRANSITION,OK,GOOD,MEDIUM
case_000849,SHORT_PUT,WATCH,NORMAL,watch_too_sensitive,0.645433,0.521129,-0.124304,-0.248608,0.133,1.657,LOW,,BULLISH,70.4,NEGATIVE_GAMMA_AMPLIFYING,THICK_BUFFER,HIGH,MEDIUM
case_000866,SHORT_PUT,HEDGE_READY,WATCH,overhedge_due_threshold_or_friction,0.137588,0.418669,0.281081,-0.037973,0.4803,2.1814,HIGH,EDB_ADVERSE|GGR_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,BEARISH,87.61,NEGATIVE_GAMMA_AMPLIFYING,ABSENT,EXTREME,LOW
case_000870,SHORT_PUT,HEDGE_READY,WATCH,overhedge_due_threshold_or_friction,0.723005,0.704461,-0.018544,0.022053,0.4694,2.2413,MEDIUM,GGR_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,BULLISH,77.5,NEGATIVE_GAMMA_AMPLIFYING,ABSENT,POOR,LOW
case_000871,SHORT_CALL,WATCH,NORMAL,watch_too_sensitive,0.765378,0.562917,-0.202462,-0.404924,0.4352,1.7919,LOW,KPF_BUFFER_WEAK_OR_BROKEN,BEARISH,64.78,POSITIVE_GAMMA_PINNING,PENETRATED,POOR,LOW
case_000877,SHORT_PUT,WATCH,NORMAL,watch_too_sensitive,0.688131,0.645534,-0.042597,-0.085193,0.2438,2.4424,LOW,KPF_BUFFER_WEAK_OR_BROKEN,BULLISH,73.25,POSITIVE_GAMMA_PINNING,PENETRATED,EXTREME,MEDIUM
case_000891,SHORT_CALL,WATCH,NORMAL,watch_too_sensitive,0.248942,0.354501,0.105558,0.084543,0.4753,1.5163,LOW,KPF_BUFFER_WEAK_OR_BROKEN,BEARISH,39.69,NEGATIVE_GAMMA_AMPLIFYING,PENETRATED,HIGH,LOW
case_000901,SHORT_CALL,EXIT_PREFERRED,WATCH,exit_preferred_too_eager,0.580655,0.689024,0.108368,0.216737,0.3789,1.1116,MEDIUM,EDB_ADVERSE|GGR_ADVERSE,BULLISH,61.71,NEGATIVE_GAMMA_AMPLIFYING,THICK_BUFFER,MEDIUM,MEDIUM
case_000920,SHORT_CALL,HEDGE_READY,WATCH,overhedge_due_threshold_or_friction,0.32596,0.5553,0.22934,0.45868,0.6039,2.6844,MEDIUM,GGR_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,NEUTRAL,49.69,NEGATIVE_GAMMA_AMPLIFYING,PENETRATED,EXTREME,LOW
case_000927,SHORT_PUT,WATCH,NORMAL,watch_too_sensitive,0.531311,0.507707,-0.023604,-0.047208,0.268,2.0827,LOW,,BULLISH,38.15,CALM_TRANSITION,OK,HIGH,LOW
case_000929,SHORT_CALL,HEDGE_READY,WATCH,overhedge_due_threshold_or_friction,0.332524,0.585949,0.253425,0.506851,0.5311,2.728,HIGH,EDB_ADVERSE|GGR_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,BULLISH,77.46,NEGATIVE_GAMMA_AMPLIFYING,TOUCHED,HIGH,MEDIUM
case_000938,SHORT_PUT,WATCH,NORMAL,watch_too_sensitive,0.617434,0.544391,-0.073043,-0.146086,0.3258,3.1081,LOW,,BULLISH,48.23,POSITIVE_GAMMA_PINNING,OK,EXTREME,LOW
case_000945,SHORT_CALL,WATCH,NORMAL,watch_too_sensitive,0.703531,0.703347,-0.000184,-0.000367,0.467,1.0156,LOW,,BEARISH,55.89,CALM_TRANSITION,INTACT,EXTREME,MEDIUM
case_000950,SHORT_PUT,EXIT_PREFERRED,NORMAL,other,0.573026,0.551781,-0.021245,-0.04249,0.5347,1.6735,LOW,KPF_BUFFER_WEAK_OR_BROKEN,NEUTRAL,53.82,CALM_TRANSITION,ABSENT,GOOD,MEDIUM
case_000951,SHORT_PUT,WATCH,NORMAL,watch_too_sensitive,0.549595,0.532279,-0.017316,0.082948,0.37,0.839,LOW,,BULLISH,69.48,POSITIVE_GAMMA_PINNING,THICK_BUFFER,POOR,LOW
case_000959,SHORT_CALL,HEDGE_READY,WATCH,overhedge_due_threshold_or_friction,0.2423,0.614796,0.372496,0.744993,0.6731,2.4233,HIGH,EDB_ADVERSE|GGR_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,BULLISH,80.46,NEGATIVE_GAMMA_AMPLIFYING,TOUCHED,HIGH,LOW
case_000960,SHORT_PUT,EXIT_PREFERRED,NORMAL,other,0.57504,0.629839,0.054798,0.109596,0.4053,1.1569,LOW,,BULLISH,73.45,CALM_TRANSITION,OK,GOOD,LOW
case_000963,SHORT_PUT,WATCH,NORMAL,watch_too_sensitive,0.615423,0.559784,-0.055639,-0.111278,0.2085,1.9396,LOW,GGR_ADVERSE,BULLISH,67.95,NEGATIVE_GAMMA_AMPLIFYING,OK,EXTREME,MEDIUM
case_000966,SHORT_PUT,WATCH,NORMAL,watch_too_sensitive,0.558711,0.604072,0.045361,0.048681,0.3311,0.7972,LOW,,BULLISH,62.68,POSITIVE_GAMMA_PINNING,OK,POOR,MEDIUM
case_000968,SHORT_PUT,HEDGE_READY,WATCH,overhedge_due_threshold_or_friction,0.371968,0.551883,0.179915,0.35983,0.5607,1.7235,HIGH,EDB_ADVERSE|GGR_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,BEARISH,72.88,NEGATIVE_GAMMA_AMPLIFYING,PENETRATED,POOR,LOW
case_000973,SHORT_PUT,EXIT_PREFERRED,NORMAL,other,0.712538,0.705672,-0.006866,0.049753,0.3966,1.4995,LOW,,BULLISH,51.18,POSITIVE_GAMMA_PINNING,OK,LOW,LOW
case_000987,SHORT_PUT,WATCH,NORMAL,watch_too_sensitive,0.605949,0.554203,-0.051746,-0.103492,0.3212,0.8205,LOW,,BULLISH,72.03,CALM_TRANSITION,THICK_BUFFER,POOR,LOW
case_001008,SHORT_PUT,HEDGE_READY,WATCH,overhedge_due_threshold_or_friction,0.603409,0.751587,0.148179,0.296357,0.4935,1.3476,HIGH,EDB_ADVERSE|GGR_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,BEARISH,60.28,NEGATIVE_GAMMA_AMPLIFYING,TOUCHED,HIGH,LOW
case_001039,SHORT_PUT,WATCH,NORMAL,watch_too_sensitive,0.618486,0.53491,-0.083577,-0.167153,0.4291,2.3857,LOW,,BULLISH,53.64,POSITIVE_GAMMA_PINNING,OK,HIGH,LOW
case_001041,SHORT_PUT,EXIT_PREFERRED,WATCH,exit_preferred_too_eager,0.531296,0.633327,0.102031,-0.001764,0.4671,3.1312,HIGH,EDB_ADVERSE|GGR_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,BEARISH,54.66,NEGATIVE_GAMMA_AMPLIFYING,TOUCHED,GOOD,LOW
case_001057,SHORT_PUT,HEDGE_READY,WATCH,overhedge_due_threshold_or_friction,0.201891,0.412104,0.210213,0.420427,0.535,3.1974,HIGH,EDB_ADVERSE|GGR_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,BEARISH,66.59,NEGATIVE_GAMMA_AMPLIFYING,ABSENT,POOR,MEDIUM
case_001064,SHORT_PUT,WATCH,NORMAL,watch_too_sensitive,0.567007,0.634187,0.06718,0.134359,0.5203,1.111,LOW,,BULLISH,57.94,CALM_TRANSITION,OK,EXTREME,LOW
case_001065,SHORT_CALL,WATCH,NORMAL,watch_too_sensitive,0.570905,0.570077,-0.000828,-0.001656,0.1621,3.0776,LOW,KPF_BUFFER_WEAK_OR_BROKEN,BEARISH,73.11,CALM_TRANSITION,PENETRATED,POOR,LOW
case_001083,SHORT_CALL,HEDGE_READY,WATCH,overhedge_due_threshold_or_friction,0.175558,0.344143,0.168585,0.337169,0.4029,0.756,MEDIUM,EDB_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,BULLISH,68.01,CALM_TRANSITION,ABSENT,EXTREME,LOW
case_001090,SHORT_CALL,HEDGE_READY,WATCH,overhedge_due_threshold_or_friction,0.129547,0.446761,0.317214,0.634428,0.2583,2.7297,MEDIUM,GGR_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,BEARISH,51.75,NEGATIVE_GAMMA_AMPLIFYING,TOUCHED,EXTREME,MEDIUM
case_001092,SHORT_CALL,EXIT_PREFERRED,WATCH,exit_preferred_too_eager,0.818189,0.575565,-0.242623,-0.485246,0.5074,3.17,MEDIUM,GGR_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,NEUTRAL,55.29,NEGATIVE_GAMMA_AMPLIFYING,PENETRATED,LOW,LOW
case_001110,SHORT_CALL,EXIT_PREFERRED,WATCH,exit_preferred_too_eager,0.45986,0.557829,0.097969,0.195937,0.4767,2.0829,HIGH,EDB_ADVERSE|GGR_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,BULLISH,53.61,NEGATIVE_GAMMA_AMPLIFYING,ABSENT,LOW,MEDIUM
case_001115,SHORT_PUT,EXIT_PREFERRED,NORMAL,other,0.711452,0.63276,-0.078692,0.041282,0.2813,1.2318,LOW,,BULLISH,75.31,POSITIVE_GAMMA_PINNING,OK,GOOD,LOW
case_001116,SHORT_PUT,WATCH,NORMAL,watch_too_sensitive,0.739004,0.786567,0.047562,0.095124,0.4119,1.4179,LOW,KPF_BUFFER_WEAK_OR_BROKEN,BULLISH,46.08,POSITIVE_GAMMA_PINNING,PENETRATED,POOR,LOW
case_001119,SHORT_PUT,HEDGE_READY,WATCH,overhedge_due_threshold_or_friction,0.334467,0.558664,0.224197,0.448394,0.7286,2.1856,HIGH,EDB_ADVERSE|GGR_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,BEARISH,66.3,NEGATIVE_GAMMA_AMPLIFYING,ABSENT,POOR,LOW
case_001128,SHORT_CALL,EXIT_PREFERRED,NORMAL,other,0.747372,0.690171,-0.057201,-0.114402,0.2703,1.0411,LOW,,BEARISH,67.04,POSITIVE_GAMMA_PINNING,THICK_BUFFER,LOW,MEDIUM
case_001135,SHORT_PUT,HEDGE_READY,WATCH,overhedge_due_threshold_or_friction,0.220674,0.383004,0.16233,0.32466,0.677,1.5902,HIGH,EDB_ADVERSE|GGR_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,BEARISH,87.47,NEGATIVE_GAMMA_AMPLIFYING,TOUCHED,POOR,LOW
case_001139,SHORT_PUT,WATCH,NORMAL,watch_too_sensitive,0.6333,0.550874,-0.082426,0.059938,0.1267,1.1066,LOW,,BULLISH,55.5,POSITIVE_GAMMA_PINNING,OK,EXTREME,MEDIUM
case_001146,SHORT_PUT,HEDGE_READY,WATCH,overhedge_due_threshold_or_friction,0.361367,0.604881,0.243514,0.001238,0.7213,1.1161,HIGH,EDB_ADVERSE|GGR_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,BEARISH,63.81,NEGATIVE_GAMMA_AMPLIFYING,PENETRATED,EXTREME,MEDIUM
case_001153,SHORT_PUT,EXIT_PREFERRED,NORMAL,other,0.758859,0.722457,-0.036401,-0.072802,0.3753,2.034,LOW,,BULLISH,65.46,CALM_TRANSITION,OK,LOW,LOW
case_001183,SHORT_CALL,EXIT_PREFERRED,NORMAL,other,0.740587,0.649691,-0.090896,-0.181792,0.3483,1.7538,LOW,GGR_ADVERSE,BEARISH,54.52,NEGATIVE_GAMMA_AMPLIFYING,INTACT,GOOD,MEDIUM
case_001185,SHORT_CALL,EXIT_PREFERRED,NORMAL,other,0.764813,0.818586,0.053773,0.107547,0.4211,1.8133,LOW,KPF_BUFFER_WEAK_OR_BROKEN,NEUTRAL,50.04,CALM_TRANSITION,ABSENT,LOW,LOW
case_001187,SHORT_PUT,EXIT_PREFERRED,NORMAL,other,0.542442,0.572772,0.03033,-0.030892,0.4817,1.4371,LOW,,BULLISH,65.58,POSITIVE_GAMMA_PINNING,OK,MEDIUM,MEDIUM
case_001188,SHORT_CALL,EXIT_PREFERRED,NORMAL,other,0.595253,0.602819,0.007566,0.015133,0.1755,1.5402,LOW,,BEARISH,68.83,CALM_TRANSITION,INTACT,GOOD,LOW
case_001189,SHORT_CALL,HEDGE_READY,WATCH,overhedge_due_threshold_or_friction,0.484431,0.651115,0.166684,0.078574,0.4827,2.8766,HIGH,EDB_ADVERSE|GGR_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,BULLISH,83.84,NEGATIVE_GAMMA_AMPLIFYING,PENETRATED,EXTREME,MEDIUM
case_001201,SHORT_PUT,HEDGE_READY,WATCH,overhedge_due_threshold_or_friction,0.207507,0.392499,0.184992,0.369984,0.693,3.1354,MEDIUM,GGR_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,NEUTRAL,41.41,NEGATIVE_GAMMA_AMPLIFYING,PENETRATED,HIGH,MEDIUM
case_001214,SHORT_PUT,EXIT_PREFERRED,NORMAL,other,0.690153,0.529507,-0.160647,0.045363,0.3453,1.316,LOW,,BULLISH,52.6,CALM_TRANSITION,THICK_BUFFER,LOW,MEDIUM
case_001237,SHORT_PUT,HEDGE_READY,WATCH,overhedge_due_threshold_or_friction,0.122205,0.3868,0.264595,0.52919,0.4479,2.4307,MEDIUM,GGR_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,BULLISH,41.88,NEGATIVE_GAMMA_AMPLIFYING,PENETRATED,HIGH,LOW
case_001245,SHORT_PUT,HEDGE_READY,WATCH,overhedge_due_threshold_or_friction,0.137135,0.292014,0.154879,0.309757,0.2988,3.0235,MEDIUM,GGR_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,BULLISH,66.41,NEGATIVE_GAMMA_AMPLIFYING,ABSENT,EXTREME,LOW
case_001246,SHORT_PUT,WATCH,NORMAL,watch_too_sensitive,0.624538,0.663873,0.039335,0.083269,0.4458,2.3776,LOW,GGR_ADVERSE,BULLISH,66.32,NEGATIVE_GAMMA_AMPLIFYING,OK,EXTREME,MEDIUM
case_001254,SHORT_CALL,HEDGE_READY,WATCH,overhedge_due_threshold_or_friction,0.077831,0.287139,0.209309,0.418617,0.3536,2.4695,MEDIUM,GGR_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,BEARISH,43.38,NEGATIVE_GAMMA_AMPLIFYING,TOUCHED,POOR,LOW
case_001269,SHORT_CALL,WATCH,NORMAL,watch_too_sensitive,0.526217,0.619991,0.093774,0.187548,0.3201,0.5884,LOW,,BULLISH,43.6,POSITIVE_GAMMA_PINNING,OK,POOR,LOW
case_001277,SHORT_CALL,WATCH,NORMAL,watch_too_sensitive,0.738158,0.605917,-0.132241,-0.264483,0.4988,0.8109,LOW,,NEUTRAL,47.78,CALM_TRANSITION,OK,POOR,LOW
case_001286,SHORT_CALL,WATCH,NORMAL,watch_too_sensitive,0.569086,0.508097,-0.060989,-0.121979,0.4832,1.8439,LOW,,NEUTRAL,40.99,CALM_TRANSITION,OK,POOR,MEDIUM
case_001299,SHORT_PUT,EXIT_PREFERRED,NORMAL,other,0.619989,0.555585,-0.064404,-0.128809,0.2287,2.8535,LOW,KPF_BUFFER_WEAK_OR_BROKEN,BULLISH,65.47,CALM_TRANSITION,ABSENT,GOOD,LOW
case_001313,SHORT_CALL,WATCH,NORMAL,watch_too_sensitive,0.092739,0.203019,0.11028,0.010806,0.5509,2.2031,LOW,KPF_BUFFER_WEAK_OR_BROKEN,BULLISH,41.11,POSITIVE_GAMMA_PINNING,PENETRATED,EXTREME,MEDIUM
case_001324,SHORT_PUT,HEDGE_READY,WATCH,overhedge_due_threshold_or_friction,0.148641,0.597638,0.448997,0.897993,0.5416,3.1325,HIGH,EDB_ADVERSE|GGR_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,BEARISH,71.24,NEGATIVE_GAMMA_AMPLIFYING,ABSENT,HIGH,LOW
case_001329,SHORT_PUT,HEDGE_READY,WATCH,overhedge_due_threshold_or_friction,0.303265,0.49843,0.195166,0.390331,0.5434,2.3753,HIGH,EDB_ADVERSE|GGR_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,BEARISH,63.16,NEGATIVE_GAMMA_AMPLIFYING,PENETRATED,POOR,MEDIUM
case_001331,SHORT_CALL,HEDGE_READY,WATCH,overhedge_due_threshold_or_friction,0.060392,0.318214,0.257822,0.515644,0.5703,1.8781,MEDIUM,EDB_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,BULLISH,51.9,POSITIVE_GAMMA_PINNING,TOUCHED,POOR,LOW
case_001336,SHORT_PUT,WATCH,NORMAL,watch_too_sensitive,0.407247,0.507852,0.100605,0.20121,0.3015,2.5531,LOW,KPF_BUFFER_WEAK_OR_BROKEN,BULLISH,74.98,POSITIVE_GAMMA_PINNING,PENETRATED,EXTREME,LOW
case_001342,SHORT_CALL,HEDGE_READY,WATCH,overhedge_due_threshold_or_friction,0.369061,0.546685,0.177624,0.355249,0.6916,1.0647,MEDIUM,EDB_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,BULLISH,64.09,CALM_TRANSITION,ABSENT,POOR,MEDIUM
case_001346,SHORT_CALL,HEDGE_READY,WATCH,overhedge_due_threshold_or_friction,0.358708,0.563987,0.205278,0.410557,0.6164,3.1619,MEDIUM,GGR_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,BEARISH,56.35,NEGATIVE_GAMMA_AMPLIFYING,ABSENT,EXTREME,LOW
case_001357,SHORT_CALL,WATCH,NORMAL,watch_too_sensitive,0.700234,0.774958,0.074725,0.073687,0.4707,1.5128,LOW,GGR_ADVERSE,BULLISH,58.88,NEGATIVE_GAMMA_AMPLIFYING,OK,EXTREME,MEDIUM
case_001367,SHORT_CALL,WATCH,NORMAL,watch_too_sensitive,0.591662,0.541141,-0.050521,0.043969,0.3273,1.8794,LOW,KPF_BUFFER_WEAK_OR_BROKEN,BEARISH,51.54,POSITIVE_GAMMA_PINNING,ABSENT,HIGH,LOW
case_001370,SHORT_PUT,WATCH,NORMAL,watch_too_sensitive,0.797311,0.846039,0.048729,0.097457,0.5277,2.1585,LOW,KPF_BUFFER_WEAK_OR_BROKEN,BEARISH,38.73,POSITIVE_GAMMA_PINNING,TOUCHED,HIGH,LOW
case_001371,SHORT_CALL,WATCH,NORMAL,watch_too_sensitive,0.662469,0.674605,0.012137,0.024273,0.5007,1.8587,LOW,,BEARISH,65.62,POSITIVE_GAMMA_PINNING,OK,EXTREME,LOW
case_001376,SHORT_CALL,HEDGE_READY,WATCH,overhedge_due_threshold_or_friction,0.146212,0.377576,0.231364,0.083873,0.4082,2.3219,MEDIUM,GGR_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,BULLISH,44.43,NEGATIVE_GAMMA_AMPLIFYING,PENETRATED,EXTREME,LOW
case_001386,SHORT_PUT,HEDGE_READY,WATCH,overhedge_due_threshold_or_friction,0.044837,0.4384,0.393562,0.787125,0.7391,2.0572,HIGH,EDB_ADVERSE|GGR_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,BEARISH,84.98,NEGATIVE_GAMMA_AMPLIFYING,TOUCHED,POOR,LOW
case_001396,SHORT_PUT,EXIT_PREFERRED,NORMAL,other,0.731485,0.687004,-0.044481,-0.088963,0.3777,2.0756,LOW,,BULLISH,62.85,POSITIVE_GAMMA_PINNING,OK,GOOD,LOW
case_001401,SHORT_PUT,EXIT_PREFERRED,NORMAL,other,0.080992,0.184942,0.10395,0.2079,0.1803,1.3722,LOW,,BULLISH,74.95,CALM_TRANSITION,INTACT,GOOD,LOW
case_001404,SHORT_PUT,WATCH,NORMAL,watch_too_sensitive,0.736083,0.793548,0.057465,0.11493,0.5451,1.6014,LOW,KPF_BUFFER_WEAK_OR_BROKEN,NEUTRAL,52.53,NEGATIVE_GAMMA_AMPLIFYING,PENETRATED,HIGH,LOW
case_001410,SHORT_PUT,HEDGE_READY,WATCH,overhedge_due_threshold_or_friction,0.583802,0.743437,0.159635,0.319271,0.5635,2.1666,MEDIUM,GGR_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,NEUTRAL,49.53,NEGATIVE_GAMMA_AMPLIFYING,PENETRATED,EXTREME,LOW
case_001418,SHORT_CALL,HEDGE_READY,WATCH,overhedge_due_threshold_or_friction,0.771475,0.752586,-0.018889,-0.037778,0.3718,0.7472,MEDIUM,EDB_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,BULLISH,86.21,POSITIVE_GAMMA_PINNING,ABSENT,HIGH,LOW
case_001446,SHORT_CALL,HEDGE_READY,WATCH,overhedge_due_threshold_or_friction,0.561045,0.674422,0.113377,0.226753,0.5656,2.6079,HIGH,EDB_ADVERSE|GGR_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,BULLISH,71.14,NEGATIVE_GAMMA_AMPLIFYING,PENETRATED,EXTREME,MEDIUM
